date,0,cloud_cover,ghi,dhi,dni,direct_irradiance,temp_air,wind_speed,precip,snow,isday,soiling,degradation,inverter_fault,pid,open_string
2023-01-05 01:00:00+01:00,,,,,,,,,,,,1.0,0.0,0.0,1.0,0.0
2023-01-05 02:00:00+01:00,,,,,,,,,,,,1.0,0.0,0.0,1.0,0.0
2023-01-05 03:00:00+01:00,,,,,,,,,,,,1.0,0.0,0.0,1.0,0.0
2023-01-05 04:00:00+01:00,,,,,,,,,,,,1.0,0.0,0.0,1.0,0.0
2023-01-05 05:00:00+01:00,,,,,,,,,,,,1.0,0.0,0.0,1.0,0.0
2023-01-05 06:00:00+01:00,,,,,,,,,,,,1.0,0.0,0.0,1.0,0.0
2023-01-05 07:00:00+01:00,,,,,,,,,,,,1.0,0.0,0.0,1.0,0.0
2023-01-05 08:00:00+01:00,,,,,,,,,,,,1.0,0.0,0.0,1.0,0.0
2023-01-05 09:00:00+01:00,,,,,,,,,,,,1.0,0.0,0.0,1.0,0.0
2023-01-05 10:00:00+01:00,,,,,,,,,,,,1.0,0.0,0.0,1.0,0.0
2023-01-05 11:00:00+01:00,,,,,,,,,,,,1.0,0.0,0.0,1.0,0.0
2023-01-05 12:00:00+01:00,,,,,,,,,,,,1.0,0.0,0.0,1.0,0.0
2023-01-05 13:00:00+01:00,,,,,,,,,,,,1.0,0.0,0.0,1.0,0.0
2023-01-05 14:00:00+01:00,,,,,,,,,,,,1.0,0.0,0.0,1.0,0.0
2023-01-05 15:00:00+01:00,,,,,,,,,,,,1.0,0.0,0.0,1.0,0.0
2023-01-05 16:00:00+01:00,,,,,,,,,,,,1.0,0.0,0.0,1.0,0.0
2023-01-05 17:00:00+01:00,,,,,,,,,,,,1.0,0.0,0.0,1.0,0.0
2023-01-05 18:00:00+01:00,,,,,,,,,,,,1.0,0.0,0.0,1.0,0.0
2023-01-05 19:00:00+01:00,,,,,,,,,,,,1.0,0.0,0.0,1.0,0.0
2023-01-05 20:00:00+01:00,,,,,,,,,,,,1.0,0.0,0.0,1.0,0.0
2023-01-05 21:00:00+01:00,,,,,,,,,,,,1.0,0.0,0.0,1.0,0.0
2023-01-05 22:00:00+01:00,,,,,,,,,,,,1.0,0.0,0.0,1.0,0.0
2023-01-05 23:00:00+01:00,,,,,,,,,,,,1.0,0.0,0.0,1.0,0.0
2023-01-06 00:00:00+01:00,,,,,,,,,,,,1.0,0.0,0.0,1.0,0.0
2023-01-06 01:00:00+01:00,,,,,,,,,,,,1.0,0.0,0.0,1.0,0.0
2023-01-06 02:00:00+01:00,,,,,,,,,,,,1.0,0.0,0.0,1.0,0.0
2023-01-06 03:00:00+01:00,,,,,,,,,,,,1.0,0.0,0.0,1.0,0.0
2023-01-06 04:00:00+01:00,,,,,,,,,,,,1.0,0.0,0.0,1.0,0.0
2023-01-06 05:00:00+01:00,,,,,,,,,,,,1.0,0.0,0.0,1.0,0.0
2023-01-06 06:00:00+01:00,,,,,,,,,,,,1.0,0.0,0.0,1.0,0.0
2023-01-06 07:00:00+01:00,,,,,,,,,,,,1.0,0.0,0.0,1.0,0.0
2023-01-06 08:00:00+01:00,,,,,,,,,,,,1.0,0.0,0.0,1.0,0.0
2023-01-06 09:00:00+01:00,,,,,,,,,,,,1.0,0.0,0.0,1.0,0.0
2023-01-06 10:00:00+01:00,,,,,,,,,,,,1.0,0.0,0.0,1.0,0.0
2023-01-06 11:00:00+01:00,,,,,,,,,,,,1.0,0.0,0.0,1.0,0.0
2023-01-06 12:00:00+01:00,,,,,,,,,,,,1.0,0.0,0.0,1.0,0.0
2023-01-06 13:00:00+01:00,,,,,,,,,,,,1.0,0.0,0.0,1.0,0.0
2023-01-06 14:00:00+01:00,,,,,,,,,,,,1.0,0.0,0.0,1.0,0.0
2023-01-06 15:00:00+01:00,,,,,,,,,,,,1.0,0.0,0.0,1.0,0.0
2023-01-06 16:00:00+01:00,,,,,,,,,,,,1.0,0.0,0.0,1.0,0.0
2023-01-06 17:00:00+01:00,,,,,,,,,,,,1.0,0.0,0.0,1.0,0.0
2023-01-06 18:00:00+01:00,,,,,,,,,,,,1.0,0.0,0.0,1.0,0.0
2023-01-06 19:00:00+01:00,,,,,,,,,,,,1.0,0.0,0.0,1.0,0.0
2023-01-06 20:00:00+01:00,,,,,,,,,,,,1.0,0.0,0.0,1.0,0.0
2023-01-06 21:00:00+01:00,,,,,,,,,,,,1.0,0.0,0.0,1.0,0.0
2023-01-06 22:00:00+01:00,,,,,,,,,,,,1.0,0.0,0.0,1.0,0.0
2023-01-06 23:00:00+01:00,,,,,,,,,,,,1.0,0.0,0.0,1.0,0.0
2023-01-07 00:00:00+01:00,,,,,,,,,,,,1.0,0.0,0.0,1.0,0.0
2023-01-07 01:00:00+01:00,,,,,,,,,,,,1.0,0.0,0.0,1.0,0.0
2023-01-07 02:00:00+01:00,,,,,,,,,,,,1.0,0.0,0.0,1.0,0.0
2023-01-07 03:00:00+01:00,,,,,,,,,,,,1.0,0.0,0.0,1.0,0.0
2023-01-07 04:00:00+01:00,,,,,,,,,,,,1.0,0.0,0.0,1.0,0.0
2023-01-07 05:00:00+01:00,,,,,,,,,,,,1.0,0.0,0.0,1.0,0.0
2023-01-07 06:00:00+01:00,,,,,,,,,,,,1.0,0.0,0.0,1.0,0.0
2023-01-07 07:00:00+01:00,,,,,,,,,,,,1.0,0.0,0.0,1.0,0.0
2023-01-07 08:00:00+01:00,,,,,,,,,,,,1.0,0.0,0.0,1.0,0.0
2023-01-07 09:00:00+01:00,,,,,,,,,,,,1.0,0.0,0.0,1.0,0.0
2023-01-07 10:00:00+01:00,,,,,,,,,,,,1.0,0.0,0.0,1.0,0.0
2023-01-07 11:00:00+01:00,,,,,,,,,,,,1.0,0.0,0.0,1.0,0.0
2023-01-07 12:00:00+01:00,,,,,,,,,,,,1.0,0.0,0.0,1.0,0.0
2023-01-07 13:00:00+01:00,,,,,,,,,,,,1.0,0.0,0.0,1.0,0.0
2023-01-07 14:00:00+01:00,,,,,,,,,,,,1.0,0.0,0.0,1.0,0.0
2023-01-07 15:00:00+01:00,,,,,,,,,,,,1.0,0.0,0.0,1.0,0.0
2023-01-07 16:00:00+01:00,,,,,,,,,,,,1.0,0.0,0.0,1.0,0.0
2023-01-07 17:00:00+01:00,,,,,,,,,,,,1.0,0.0,0.0,1.0,0.0
2023-01-07 18:00:00+01:00,,,,,,,,,,,,1.0,0.0,0.0,1.0,0.0
2023-01-07 19:00:00+01:00,,,,,,,,,,,,1.0,0.0,0.0,1.0,0.0
2023-01-07 20:00:00+01:00,,,,,,,,,,,,1.0,0.0,0.0,1.0,0.0
2023-01-07 21:00:00+01:00,,,,,,,,,,,,1.0,0.0,0.0,1.0,0.0
2023-01-07 22:00:00+01:00,,,,,,,,,,,,1.0,0.0,0.0,1.0,0.0
2023-01-07 23:00:00+01:00,,,,,,,,,,,,1.0,0.0,0.0,1.0,0.0
2023-01-08 00:00:00+01:00,,,,,,,,,,,,1.0,0.0,0.0,1.0,0.0
